# GDP (current US $)
# source: http://data.worldbank.org/indicator/NY.GDP.MKTP.CD
# downloaded 2013-10-02
Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Arab World,ARB,,,,,,,,,32477913760,35821638736,39088202289,45302234454,54973410597,69611468906,1.32212E+11,1.47765E+11,1.8233E+11,2.11747E+11,2.34202E+11,3.12445E+11,4.14672E+11,4.27447E+11,3.98039E+11,3.75396E+11,3.79656E+11,3.74809E+11,3.52718E+11,3.76386E+11,3.62996E+11,3.83469E+11,4.3136E+11,4.24278E+11,4.5439E+11,4.60003E+11,4.70327E+11,5.04847E+11,5.57587E+11,5.92591E+11,5.75915E+11,6.28356E+11,7.23895E+11,7.0455E+11,7.14294E+11,8.04473E+11,9.37917E+11,1.145E+12,1.37629E+12,1.60159E+12,2.02959E+12,1.75604E+12,2.04037E+12,2.49224E+12,
Caribbean small states,CSS,1859229137,2010807328,2120345745,2258228753,2429886846,2614400309,2834716263,3047396312,3031236448,3303911504,3646983578,3971866744,4595320687,5050458075,6535038897,7650579903,7874819952,9115305710,9329515062,10715529656,13198346194,14416121373,16021593669,16406832336,15572528850,15339714679,13910360575,14931365983,15805757981,16151256733,17268210112,17138019644,16815532510,17476275285,18558297790,20419012904,22251660123,24999854777,27337329391,29069672494,31699815038,32559570300,34236527423,36823407871,40053128787,45669259431,51291484904,57192982592,65657052053,54996810853,58883262939,62841439249,64961845884
East Asia & Pacific (all income levels),EAS,1.55807E+11,1.54758E+11,1.57412E+11,1.75531E+11,2.01156E+11,2.24495E+11,2.50933E+11,2.72023E+11,2.99817E+11,3.45353E+11,4.04203E+11,4.4833E+11,5.56078E+11,7.33177E+11,8.44893E+11,9.25005E+11,1.01726E+12,1.21244E+12,1.52917E+12,1.66143E+12,1.79762E+12,1.98607E+12,1.94233E+12,2.05895E+12,2.2067E+12,2.33817E+12,3.04529E+12,3.55902E+12,4.28412E+12,4.48377E+12,4.69166E+12,5.28275E+12,5.76417E+12,6.4557E+12,7.19957E+12,8.12593E+12,7.81232E+12,7.51012E+12,6.70574E+12,7.46854E+12,8.07703E+12,7.51017E+12,7.62736E+12,8.38269E+12,9.39682E+12,9.99532E+12,1.05975E+13,1.18607E+13,1.36897E+13,1.40824E+13,1.63231E+13,1.88463E+13,2.01627E+13
East Asia & Pacific (developing only),EAP,83097034648,71429064387,64647844330,69995460036,80475031843,94497352707,1.03394E+11,1.0027E+11,1.01269E+11,1.13716E+11,1.2674E+11,1.36022E+11,1.54222E+11,1.94557E+11,2.20064E+11,2.47285E+11,2.51462E+11,2.90914E+11,2.82659E+11,3.27833E+11,3.79714E+11,4.06397E+11,4.23583E+11,4.43579E+11,4.79689E+11,5.24503E+11,5.20881E+11,5.14133E+11,5.74832E+11,6.22706E+11,6.68336E+11,7.28271E+11,8.1434E+11,8.78223E+11,1.05872E+12,1.30829E+12,1.50277E+12,1.55756E+12,1.42355E+12,1.56365E+12,1.72081E+12,1.83202E+12,2.02532E+12,2.288E+12,2.65294E+12,3.0672E+12,3.68789E+12,4.65736E+12,5.88774E+12,6.35228E+12,7.61845E+12,9.28108E+12,1.03134E+13
East Asia and the Pacific (IFC classification),CEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro area,EMU,2.4492E+11,2.69592E+11,2.99176E+11,3.35628E+11,3.73295E+11,4.07338E+11,4.44189E+11,4.82516E+11,5.17272E+11,5.71437E+11,6.23093E+11,7.06117E+11,8.5335E+11,1.1086E+12,1.25454E+12,1.45665E+12,1.5206E+12,1.73044E+12,2.11783E+12,2.56364E+12,2.87094E+12,2.49466E+12,2.41455E+12,2.35568E+12,2.25946E+12,2.32118E+12,3.25784E+12,4.02848E+12,4.43047E+12,4.52471E+12,5.69133E+12,5.91204E+12,6.52066E+12,5.97158E+12,6.31637E+12,7.29478E+12,7.37544E+12,6.73238E+12,6.90951E+12,6.87118E+12,6.25579E+12,6.34751E+12,6.90743E+12,8.52872E+12,9.77154E+12,1.01427E+13,1.07569E+13,1.23677E+13,1.3541E+13,1.23944E+13,1.20724E+13,1.30904E+13,1.22003E+13
Europe & Central Asia (all income levels),ECS,4.421E+11,4.706E+11,5.14499E+11,5.67344E+11,6.28289E+11,6.83697E+11,7.42761E+11,7.99147E+11,8.3347E+11,9.15162E+11,9.97107E+11,1.1237E+12,1.34718E+12,1.71165E+12,1.93326E+12,2.26591E+12,2.35706E+12,2.67199E+12,3.25632E+12,3.97736E+12,4.50086E+12,4.00394E+12,3.85982E+12,3.742E+12,3.59574E+12,3.72004E+12,5.04753E+12,6.19508E+12,6.8849E+12,7.04233E+12,8.57438E+12,8.82791E+12,9.46159E+12,8.70016E+12,9.11237E+12,1.04296E+13,1.06267E+13,1.0069E+13,1.03156E+13,1.02022E+13,9.59298E+12,9.69693E+12,1.06147E+13,1.29502E+13,1.50995E+13,1.60836E+13,1.74089E+13,2.03606E+13,2.23625E+13,1.96526E+13,2.00773E+13,2.2215E+13,2.13388E+13
Europe & Central Asia (developing only),ECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.35923E+11,3.55232E+11,3.8895E+11,4.45679E+11,4.17941E+11,4.08156E+11,4.21111E+11,3.55179E+11,4.05007E+11,4.13876E+11,4.32632E+11,5.13477E+11,4.71907E+11,4.77321E+11,4.33723E+11,5.0698E+11,6.44537E+11,8.21542E+11,1.00586E+12,1.16044E+12,1.46825E+12,1.75107E+12,1.45612E+12,1.64792E+12,1.84952E+12,1.86268E+12
Europe and Central Asia (IFC classification),CEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union,EUU,3.6662E+11,3.99152E+11,4.36043E+11,4.8036E+11,5.3235E+11,5.79736E+11,6.2845E+11,6.75315E+11,7.01919E+11,7.71034E+11,8.44894E+11,9.55075E+11,1.1441E+12,1.45323E+12,1.63251E+12,1.90955E+12,1.97925E+12,2.24206E+12,2.74346E+12,3.34472E+12,3.8146E+12,3.37316E+12,3.2482E+12,3.14648E+12,3.02038E+12,3.12039E+12,4.25227E+12,5.22328E+12,5.81566E+12,5.94147E+12,7.32944E+12,7.59218E+12,8.26252E+12,7.53788E+12,8.02283E+12,9.22724E+12,9.41535E+12,8.87234E+12,9.18269E+12,9.17608E+12,8.50605E+12,8.60847E+12,9.38869E+12,1.14515E+13,1.3222E+13,1.38257E+13,1.47416E+13,1.70477E+13,1.83358E+13,1.63872E+13,1.62331E+13,1.7655E+13,1.66339E+13
