# health care expenditures as percent of GDP
# source: http://data.worldbank.org/indicator/SH.XPD.TOTL.ZS
# downloaded 2013-10-02
Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Arab World,ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.769960826,3.736907547,3.882644496,4.17686163,4.205711986,4.040566301,4.362354443,4.3537182,4.228683929,3.949736243,3.6321721,3.596457107,3.734303404,3.587455901,4.75630296,4.479630261,4.304494093,
Caribbean small states,CSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.10368747,5.238050983,5.395597093,5.052648292,4.930589559,5.10726547,5.077880458,5.2235528,5.208079424,5.335095762,5.359342475,5.252657304,5.302744136,5.311243076,6.121823417,6.123860363,5.89253334,
East Asia & Pacific (all income levels),EAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.969602521,5.991423677,5.935956142,6.263117742,6.454804485,6.558917371,6.618717506,6.597204054,6.704764109,6.670826301,6.68767552,6.526786106,6.34083744,6.51257852,7.066127922,6.823367567,6.76972509,
East Asia & Pacific (developing only),EAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.280957324,3.493265641,3.660426481,4.042272601,4.098574203,4.141583259,4.200205501,4.358825836,4.450752442,4.365425776,4.375429389,4.299325279,4.202518299,4.420408659,4.895009339,4.715207157,4.840665067,
East Asia and the Pacific (IFC classification),CEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro area,EMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.094494844,9.179149439,9.079023142,9.067232111,9.106040964,9.115941208,9.245972265,9.454752284,9.800861723,9.831498854,9.958871499,9.873293308,9.841520685,10.10546136,10.86915355,10.79227622,10.61548522,
Europe & Central Asia (all income levels),ECS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.421382632,8.498612573,8.375181446,8.348775051,8.466122918,8.39587442,8.581599515,8.829408425,9.110562947,9.081957929,9.101850791,9.003121067,8.936011623,9.081114386,9.979348115,9.788224291,9.551004353,
Europe & Central Asia (developing only),ECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.792600096,4.901867587,5.232429541,4.730346166,5.361133908,5.330578775,5.568224056,5.853346133,6.125131673,6.07007797,6.072255279,6.076679033,6.08146796,6.103102512,6.672507602,6.575491629,6.411078829,
Europe and Central Asia (IFC classification),CEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union,EUU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.630276039,8.697850562,8.517128508,8.509408071,8.594388966,8.583940828,8.750474425,8.988368909,9.312389846,9.349452528,9.456038353,9.412504169,9.372571639,9.642206725,10.46374778,10.33907485,10.14411908,
Heavily indebted poor countries (HIPC),HPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.578219179,4.777943485,4.726515201,4.944524631,4.982772513,4.986223126,5.053800725,5.126762161,5.202802463,5.339976331,5.507103732,5.692144429,6.003533166,6.101046392,6.434276674,6.584995529,6.726921974,
High income,HIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.474641832,9.627286535,9.655537141,9.88829176,9.957932862,10.02741462,10.51497646,10.90652731,11.21273783,11.12603103,11.18917335,11.19101126,11.14610987,11.29081237,12.36637047,12.16596549,12.00071875,
High income: nonOECD,NOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.513960537,4.594392186,5.166314551,4.975218807,4.651876497,4.39143002,4.644736668,4.772998928,4.705019018,4.400754621,4.375839431,4.438900529,4.54622496,4.392160417,5.389384108,5.321613275,5.047961047,
