dose num_mites num_dead
0 10 0
0 10 0
0 10 0
0 10 0
0 10 0
0 10 1
0 10 1
0 10 2
0 10 0
0 10 0
0 10 0
0 10 0
0 10 0
0.4 10 3
0.4 10 1
0.4 10 4
0.4 10 2
0.4 10 2
0.4 10 3
0.4 10 4
0.4 10 3
0.4 10 4
0.4 10 5
0.4 10 3
0.4 10 1
0.8 10 2
0.8 10 4
0.8 10 2
0.8 10 2
0.8 10 6
0.8 10 4
0.8 10 3
0.8 10 4
0.8 10 2
0.8 10 2
0.8 10 4
0.8 10 3
0.8 10 3
1.0 10 4
1.0 10 6
1.0 10 4
1.0 10 4
1.0 10 4
1.0 10 4
1.0 10 4
1.0 10 3
1.0 10 2
1.0 10 3
1.0 10 4
1.0 10 3
1.6 10 9
1.6 10 8
1.6 10 7
1.6 10 5
1.6 10 6
1.6 10 7
1.6 10 6
1.6 10 4
1.6 10 3
1.6 10 4
1.6 10 3
2.4 10 7
2.4 10 5
2.4 10 6
2.4 10 6
2.4 10 8
2.4 10 8
2.4 10 9
2.4 10 7
2.4 10 5
2.4 10 4
2.4 10 7
3.2 10 10
3.2 10 10
3.2 10 9
3.2 10 9
3.2 10 8
3.2 10 10
3.2 10 10
3.2 10 10
3.2 10 7
3.2 10 5
3.2 10 5
3.84 10 10
3.84 10 10
3.84 10 10
3.84 10 10
3.84 10 10
3.84 10 9
3.84 10 10
3.84 10 10
3.84 10 9
3.84 10 10
3.84 10 8
