# dose  is in g ai/l
dose num_mites num_dead
0 10 1
0 10 1
0 10 0
0 10 0
0 10 0
0 10 0
0 10 1
0 10 0
0 10 0
0 10 0
0 10 0
0 10 0
0 10 0
0.125 10 5
0.125 10 4
0.125 10 5
0.125 10 4
0.125 10 4
0.125 10 3
0.125 10 2
0.125 10 6
0.125 10 8
0.125 10 4
0.125 10 3
0.125 10 6
0.125 10 4
0.25 10 4
0.25 10 5
0.25 10 7
0.25 10 7
0.25 10 4
0.25 10 4
0.25 10 6
0.25 10 1
0.25 10 5
0.25 10 4
0.25 10 5
0.25 10 4
0.5 10 8
0.5 10 7
0.5 10 5
0.5 10 5
0.5 10 8
0.5 10 3
0.5 10 5
0.5 10 8
0.5 10 10
0.5 10 3
0.5 10 3
0.5 10 3
0.5 10 5
1 10 7
1 10 8
1 10 9
1 10 7
1 10 5
1 10 6
1 10 7
1 10 6
1 10 6
1 10 3
1 10 5
1 10 6
1 10 9
2 10 9
2 10 9
2 10 10
2 10 10
2 10 9
2 10 8
2 10 9
2 10 7
2 10 7
2 10 7
2 10 7
2 10 8
2 10 8
2 10 7
3 10 10
3 10 9
3 10 10
3 10 8
3 10 9
3 10 7
3 10 9
3 10 10
3 10 8
3 10 10
3 10 10
